Merchant,Branch,1st time users,Organic sum of spend,Sum of Comission,Sum of rewards,% of Net Reward,Net Reward,Net Win/Loss,Avg Reward,Total GMV,Free Trial Until
Ajisen Ramen,Werribee,44,$28.51,$294.29,$196.19,0.12%,$98.10,5.00%,10,"$1,961.90",31/08/18
Burger Project,Chadstone Shopping Centre,43,$16.64,$0.00,$270.03,0.16%,-$270.03,-15.00%,18.53,"$1,800.19",12/10/19
Killiney Kopitiam,Carlton,43,$17.40,$126.51,$126.51,0.08%,$0.00,0.00%,10,"$1,265.10",âˆ…
Roll'd,Parramatta,43,$7.54,$44.48,$44.48,0.03%,$0.00,0.00%,19.44,$296.50,14/05/18
YiFang Taiwan Fruit Tea,Chatswood,42,$17.35,$215.21,$215.21,0.13%,$0.00,0.00%,15,"$2,152.10",âˆ…
Killiney Kopitiam,Melbourne CBD,42,$57.72,$242.52,$242.52,0.15%,$0.00,0.00%,20.68,"$2,425.20",âˆ…
Bowie Espresso Cafe,Sydney,42,$12.48,$134.48,$134.48,0.08%,$0.00,0.00%,10,$896.53,âˆ…
Fratelli Fresh,Alexandria,41,$86.84,$244.66,$230.09,0.14%,$14.57,0.89%,15,"$1,631.10",30/11/18
Din Tai Fung,Miranda,41,$60.64,$0.00,$465.48,0.28%,-$465.48,-15.00%,15,"$3,103.17",30/06/19
Roll'd,Sydney Central Plaza,40,$13.99,$180.38,$180.38,0.11%,$0.00,0.00%,20,"$1,202.50",âˆ…
Mad Mex,MET Centre,39,$19.15,$204.88,$204.88,0.12%,$0.00,0.00%,15,"$1,365.90",31/07/18
The Pie Tin,Newtown,39,$18.47,$83.92,$83.92,0.05%,$0.00,0.00%,10,$559.50,22/12/18
Sexy Tea,Burwood,38,$9.37,$36.71,$36.71,0.02%,$0.00,0.00%,15,$367.13,âˆ…
Sharetea,Box Hill Shopping Centre,37,$12.64,$127.56,$127.56,0.08%,$0.00,0.00%,10,"$1,275.59",28/02/19
Mad Mex,Harbourside,37,$9.77,$151.19,$151.19,0.09%,$0.00,0.00%,10,"$1,007.96",31/08/18
Da Long Yi Hot Pot,Melbourne CBD,36,$233.22,"$1,220.77","$1,805.06",1.10%,-$584.29,-4.79%,24.89,"$12,207.70",âˆ…
Sexy Tea,Haymarket,34,$11.73,$41.90,$41.90,0.03%,$0.00,0.00%,15,$419.00,âˆ…
Roll'd,Southern Cross Lane,33,$33.65,$100.48,$100.48,0.06%,$0.00,0.00%,15,$669.85,30/06/18
Pho Gia Hoi,Sydney,33,$84.87,$169.25,$338.50,0.21%,-$169.25,-5.00%,10,"$3,385.00",âˆ…
Shanghai Dragon Dumpling House,CBD,32,$106.17,"$1,670.69","$1,342.80",0.82%,$327.89,4.91%,13.53,"$6,682.78",âˆ…
Ajisen Ramen,Epping,32,$78.95,$378.63,$252.42,0.15%,$126.21,5.00%,11.93,"$2,524.20",31/12/18
Ho Jiak,Haymarket,32,$215.97,$0.00,"$1,259.30",0.76%,"-$1,259.30",-12.11%,10,"$10,395.00",30/06/19
Oppa Kitchen,Melbourne CBD,31,$106.96,$425.86,$425.86,0.26%,$0.00,0.00%,10,"$4,258.60",28/02/19
NeNe Chicken,Melbourne Central,31,$83.85,$344.30,$516.44,0.31%,-$172.14,-5.00%,15,"$3,442.95",15/04/18
Sharetea,Highpoint Shopping Centre,31,$17.27,$83.95,$83.95,0.05%,$0.00,0.00%,10,$839.51,03/02/19
MC Dumpling,Footscray,31,$54.80,$231.47,$154.31,0.09%,$77.16,5.00%,10,"$1,543.14",âˆ…
Raan Kan Eang,Melbourne,30,$122.99,"$3,104.38","$2,474.80",1.50%,$629.58,5.07%,20,"$12,417.50",âˆ…
CoCo Fresh Tea & Juice,Bondi Junction,30,$6.72,$35.58,$118.60,0.07%,-$83.02,-7.00%,20,"$1,186.00",âˆ…
Dragon Hot Pot,QV Centre,30,$125.43,$0.00,"$1,507.83",0.92%,"-$1,507.83",-12.02%,10,"$12,540.58",31/12/19
Sharetea,Carnegie,30,$68.28,$179.01,$179.01,0.11%,$0.00,0.00%,15,"$1,790.06",31/03/19
Chapayom,Sydney,29,$23.99,$143.51,$143.51,0.09%,$0.00,0.00%,10,"$1,435.15",âˆ…
Ajisen Ramen,"Kingsway, Glen Waverley",29,$27.86,$379.04,$252.69,0.15%,$126.35,5.00%,15,"$2,526.90",âˆ…
D' Elephant Thai,"Kingsway, Glen Waverley",29,$97.86,$529.10,$529.10,0.32%,$0.00,0.00%,10,"$5,291.00",31/01/19
Kameya,The Rocks,28,$65.22,$160.77,$160.77,0.10%,$0.00,0.00%,10,"$1,607.70",âˆ…
Din Tai Fung,The Star,28,$37.75,$0.00,$383.72,0.23%,-$383.72,-15.00%,10,"$2,558.15",30/06/19
Mad Mex,Highpoint,28,$7.20,$51.77,$51.77,0.03%,$0.00,0.00%,15,$345.10,31/08/18
Roll'd,MET Centre,27,$64.24,$199.00,$199.00,0.12%,$0.00,0.00%,25,"$1,326.70",04/06/18
Ichi-ban Boshi,The Galeries,27,$57.23,$16.91,$415.85,0.25%,-$398.94,-9.59%,10,"$4,158.51",31/05/19
Aunty Franklee,Melbourne CBD,27,$83.90,$408.67,$408.67,0.25%,$0.00,0.00%,10,"$4,086.70",âˆ…
Lanzhou Beef Noodle Bar,South Yarra,26,$51.52,$0.00,$855.29,0.52%,-$855.29,-15.12%,15.38,"$5,657.90",31/12/19
Laksa Bar,CBD,26,$44.11,$956.65,$765.32,0.46%,$191.33,5.00%,20,"$3,826.59",âˆ…
CoCo Fresh Tea & Juice,Collins Street,26,$5.34,$0.00,$525.10,0.32%,-$525.10,-14.01%,14.17,"$3,747.70",01/08/19
NeNe Chicken,Box Hill,25,$48.75,$220.31,$330.46,0.20%,-$110.15,-5.00%,15,"$2,203.05",15/04/18
Ho Jiak,Strathfield,24,$89.56,$0.00,$273.38,0.17%,-$273.38,-14.04%,15,"$1,947.70",30/06/19
Din Tai Fung,Greenwood Plaza,24,$39.79,$0.00,$165.68,0.10%,-$165.68,-15.00%,20.13,"$1,104.50",30/06/19
NeNe Chicken,Chadstone Shopping Centre,24,$40.80,$305.69,$458.53,0.28%,-$152.84,-5.00%,15,"$3,056.85",23/05/18
Din Tai Fung,Gateway,24,$84.11,$0.00,$391.89,0.24%,-$391.89,-15.00%,10,"$2,612.60",30/06/19
Roll'd,Eastland,24,$2.95,$48.77,$48.77,0.03%,$0.00,0.00%,25,$325.10,14/05/18
House of Kebabs,Melbourne CBD,23,$7.72,$127.88,$95.91,0.06%,$31.97,5.00%,10,$639.40,âˆ…
Fratelli Fresh,Darling Harbour,23,$25.37,$549.25,$516.35,0.31%,$32.90,0.90%,15,"$3,661.67",31/10/18
Mad Mex,Winter Garden,23,$5.22,$81.65,$81.65,0.05%,$0.00,0.00%,15,$544.31,31/08/18
Edition Coffee Roasters,Haymarket,22,$82.93,$576.88,$576.88,0.35%,$0.00,0.00%,9.38,"$6,676.65",30/09/18
Sharetea,Hawthorn,22,$43.30,$169.33,$169.33,0.10%,$0.00,0.00%,10,"$1,693.26",31/03/19
Sharetea,Zetland,22,$2.96,$75.79,$75.79,0.05%,$0.00,0.00%,15,$757.90,03/02/19
YiFang Taiwan Fruit Tea,Sydney,22,$50.58,$276.37,$276.37,0.17%,$0.00,0.00%,10,"$2,763.66",âˆ…
Roll'd,Barkly Square,21,$3.34,$3.94,$3.94,0.00%,$0.00,0.00%,15,$26.30,14/05/18
Roll'd,Northland,21,$12.30,$43.63,$43.63,0.03%,$0.00,0.00%,15,$290.90,âˆ…
Laksa King,Flemington,21,$49.18,$0.00,$447.15,0.27%,-$447.15,-10.00%,25,"$4,471.55",âˆ…
Tuan Tuan,Carlton,21,$127.50,$642.03,$642.03,0.39%,$0.00,0.00%,10,"$6,420.30",31/01/19
YiFang Taiwan Fruit Tea,Melbourne CBD,20,$15.90,$211.24,$211.24,0.13%,$0.00,0.00%,19.71,"$2,112.36",âˆ…
PappaRich,Macquarie,20,$66.69,$723.45,$482.30,0.29%,$241.15,5.00%,7.21,"$4,823.00",10/08/18
Calia,Melbourne CBD,20,$99.55,$0.00,"$2,636.93",1.60%,"-$2,636.93",-19.91%,20,"$13,244.47",âˆ…
Ajisen Ramen,Chadstone Shopping Centre,20,$37.91,$270.11,$180.07,0.11%,$90.04,5.00%,22.42,"$1,800.70",31/12/18
Enjoy Cafe by Enjoy Mie,Sydney,20,$126.17,$389.64,$389.64,0.24%,$0.00,0.00%,10.07,"$3,896.45",âˆ…
