,Name,Suburb,Id,Zomato Name,url
0,Meat District Co,Darling Harbour,297.0,Meat District Co.,"https://www.zomato.com/sydney/meat-district-co-cbd
"
0,Maya da Dhaba,Surry Hills,1075.0,Maya Da Dhaba,"https://www.zomato.com/sydney/maya-da-dhaba-surry-hills
"
0,Master Yang,Chatswood,1636.0,Master Yang,"https://www.zomato.com/sydney/master-yang-chatswood
"
0,Mamasan,Surry Hills,1167.0,Mamasan Surry Hills,"https://www.zomato.com/sydney/mamasan-surry-hills-surry-hills
"
0,Mamak,Chatswood,1633.0,Mamak,"https://www.zomato.com/sydney/mamak-chatswood
"
0,Mamak,Haymarket,1632.0,Mamak,"https://www.zomato.com/sydney/mamak-haymarket
"
0,Mama's Buoi,Tramsheds,1166.0,Mama's Buoi,"https://www.zomato.com/sydney/mamas-buoi-forest-lodge
"
0,Mama's Buoi,Crow's Nest,1154.0,Mama's Buoi,"https://www.zomato.com/sydney/mamas-buoi-crows-nest
"
0,Mama's Buoi,Surry Hills,1155.0,Mama's Buoi,"https://www.zomato.com/sydney/mamas-buoi-surry-hills
"
0,Mama Rosy's,Newtown,1479.0,Mama Rosy's,"https://www.zomato.com/sydney/mama-rosys-newtown
"
0,Mama Mulan,Chatswood,1657.0,Mama Mulan,"https://www.zomato.com/sydney/mama-mulan-chatswood
"
0,Makanai Ramen Noodle House,Chatswood,1635.0,Makanai,"https://www.zomato.com/sydney/makanai-chatswood
"
1,Makanai Ramen Noodle House,Chatswood,1635.0,Noodle Warriors,"https://www.zomato.com/sydney/noodle-warriors-chatswood
"
0,Mai Viet,Redfern,1249.0,Mai Viet,"https://www.zomato.com/sydney/mai-viet-redfern
"
0,Madame Nhu,Westfield Hornsby,1493.0,Madame Nhu,"https://www.zomato.com/sydney/madame-nhu-hornsby
"
0,Madame Nhu,Surry Hills,1486.0,Madame Nhu Surry Hills,"https://www.zomato.com/sydney/madame-nhu-surry-hills-surry-hills
"
0,Madame Nhu,Westfield Chatswood,1485.0,Madame Nhu,"https://www.zomato.com/sydney/madame-nhu-chatswood
"
0,Mad Mex,Zetland,1215.0,Mad Mex,"https://www.zomato.com/sydney/mad-mex-1-zetland
"
0,Mad Mex,Darlinghurst,1357.0,Mad Mex,"https://www.zomato.com/sydney/mad-mex-darlinghurst
"
0,Mad Mex,Sydney Central Plaza,1042.0,Mad Mex,"https://www.zomato.com/sydney/mad-mex-2-cbd
"
